Time,VC,EC,SA
1,-0,3878,15721
2,-0,11626,17726
3,-0,21015,18002
4,-0,34866,18811
5,-0,51838,19507
6,-0,69690,19906
7,-0,88004,19764
8,-0,112713,20269
9,-0,172855,21295
