Time,VC,EC,SA
1,768786,117072,-0
2,764959,114210,-0
3,784998,118751,-0
4,811025,123767,-0
5,883982,130881,-0
6,976827,147334,-0
7,1090767,163131,-0
8,1204358,179999,-0
9,1316905,194332,-0
10,1410457,209812,-0
11,1477188,218063,-0
12,1569685,230924,-0
13,1663204,246894,-0
14,1720938,275846,-0
15,1826845,291002,-0
16,1921366,308345,-0
17,2040588,325830,-0
18,2049167,332744,-0
