Time,VC,EC,SA
1,233777,40751,-0
2,278960,48019,-0
3,323660,56986,-0
4,395780,66891,-0
5,405513,68483,-0
6,420704,69782,-0
7,418570,70206,-0
8,437751,70746,-0
9,385876,62420,-0
10,421244,66130,-0
11,484133,74696,-0
12,548342,82693,-0
13,602211,90266,-0
14,700510,105132,-0
15,763712,113517,-0
16,834448,123559,-0
17,908999,134087,-0
18,962160,142247,-0
