Time,VC,EC,SA
1,16227,-0,793
2,32657,-0,838
3,44870,-0,1299
4,59456,-0,1655
5,71246,-0,2122
6,78281,-0,2692
7,93060,-0,3524
8,104047,-0,4315
9,103358,-0,4761
10,116406,-0,5479
11,126699,-0,6437
12,139103,-0,7201
13,132126,-0,7269
14,172095,-0,8239
15,181339,-0,8744
16,194318,-0,9625
17,187832,-0,9098
18,216842,-0,10345
19,229145,-0,10524
20,244331,-0,11471
