Time,VC,EC,SA
1,1037606,-0,477
2,1079430,-0,543
3,1105448,-0,728
4,1163631,-0,941
5,1193602,-0,968
6,1220515,-0,1052
7,1266081,-0,1343
8,1281471,-0,1366
