Time,VC,EC,SA
1,18348,6034,5204
2,26765,8547,5917
3,35540,10565,6804
4,44937,12904,8086
5,54461,16153,8917
6,72674,19018,9177
7,77398,22589,10242
8,90582,30901,11565
9,108631,40235,12372
10,135901,52249,13236
11,172699,71308,14165
12,202636,89084,15011
13,225942,106035,14877
14,244604,124160,15879
15,278666,147752,16471
