Time,VC,EC,SA
1,-0,114289,319
2,-0,122353,451
3,-0,126811,333
4,-0,130946,438
5,-0,140740,484
6,-0,144687,500
7,-0,149111,530
8,-0,156863,605
9,-0,160795,750
