Time,VC,EC,SA
1,42587,-0,6257
2,54706,-0,7727
3,66726,-0,9039
4,73243,-0,8850
5,78566,-0,10145
6,87526,-0,11829
7,93175,-0,12309
8,108310,-0,13382
9,113144,-0,14882
10,118440,-0,16201
11,126996,-0,16811
12,131173,-0,18351
13,159279,-0,19714
