Time,VC,EC,SA
1,31715,-0,6485
2,40138,-0,7888
3,52380,-0,9246
4,60572,-0,9193
5,64423,-0,10402
6,73285,-0,12160
7,79758,-0,12931
8,95972,-0,13770
9,95689,-0,14902
10,103332,-0,16474
11,113834,-0,17270
12,113726,-0,18658
13,122653,-0,20368
