Time,VC,EC,SA
1,62613,12823,-0
2,92237,17338,-0
3,99601,20545,-0
4,111171,23160,-0
5,124604,25745,-0
6,137695,28809,-0
7,167059,31522,-0
8,178993,33944,-0
9,190799,37370,-0
10,200709,41001,-0
11,203489,45930,-0
12,228786,51399,-0
13,259411,61173,-0
14,258483,68070,-0
15,282718,79958,-0
16,316728,92441,-0
17,369393,110366,-0
18,489669,127049,-0
19,622258,150274,-0
20,773221,168488,-0
