Time,VC,EC,SA
1,189782,30257,1256
2,171325,29118,1205
3,181588,31753,1320
4,211615,36399,1571
5,252829,42766,2031
6,295682,49673,2532
7,307383,53469,2770
8,340014,56598,2679
9,338451,56933,2723
10,361490,57995,2739
11,340161,54232,1961
12,393513,61103,2036
13,451235,68627,2099
14,508924,76475,2062
15,565953,84623,2023
16,643214,97309,2142
17,698643,105522,2221
18,739915,110334,2226
19,789368,119475,2629
20,837456,125584,2847
