Time,VC,EC,SA
1,-0,9464,765
2,-0,12090,1095
3,-0,14349,1507
4,-0,17989,2052
5,-0,24084,2707
6,-0,30604,3057
7,-0,39284,3774
8,-0,50619,4653
9,-0,63295,5279
10,-0,72979,5787
11,-0,88638,6428
12,-0,107433,7283
13,-0,128330,8253
14,-0,133380,7956
15,-0,150755,8785
16,-0,166104,9169
17,-0,175699,9521
