Time,VC,EC,SA
1,22703,-0,435
2,38134,-0,434
3,53002,-0,952
4,67707,-0,1257
5,79386,-0,1697
6,83633,-0,2112
7,97151,-0,2747
8,110160,-0,3489
9,109755,-0,3697
10,123210,-0,4274
11,134571,-0,5128
12,160537,-0,5598
13,142655,-0,5931
14,172937,-0,6392
15,191540,-0,7086
16,211739,-0,7876
17,211700,-0,7465
18,239717,-0,8167
19,257829,-0,8250
20,266792,-0,7849
