Time,VC,EC,SA
1,-0,46948,2092
2,-0,48660,2178
3,-0,51140,2329
4,-0,53516,2626
5,-0,58837,2996
6,-0,60785,3254
7,-0,62347,3433
8,-0,65398,3873
9,-0,66864,4067
