Time,VC,EC,SA
1,-0,6483,12391
2,-0,16096,13656
3,-0,30352,14239
4,-0,50926,14748
5,-0,76110,15552
6,-0,109079,16053
7,-0,139701,16476
8,-0,176501,17038
9,-0,223572,18100
