Time,VC,EC,SA
1,53246,13545,-0
2,66565,16901,-0
3,79254,19817,-0
4,84741,20690,-0
5,99544,24242,-0
6,108393,26438,-0
7,126862,31657,-0
8,134929,37832,-0
9,152680,40236,-0
10,229087,53623,-0
11,370827,78508,-0
12,479287,99265,-0
13,455095,102675,-0
14,649637,125301,-0
15,714037,145451,-0
16,711312,145176,-0
17,776425,159176,-0
18,879554,177763,-0
