Time,VC,EC,SA
1,266132,43719,963
2,278171,47887,1189
3,335082,56795,1563
4,416333,68198,1578
5,480458,75066,1514
6,513561,77358,1491
7,498797,77273,1549
8,511967,77398,1444
9,508004,77509,1352
10,517834,78564,1420
11,471572,76012,1244
12,520616,82354,1079
13,594701,92779,1072
14,670149,103497,1081
15,738714,112138,1093
16,818498,127528,1275
17,861945,133522,1240
18,906818,137984,1265
19,957032,148611,1672
20,995381,152566,1869
