Time,VC,EC,SA
1,130105,25267,-0
2,67671,14448,-0
3,49195,11174,-0
4,252311,40408,-0
5,210360,33645,-0
6,195482,34057,-0
7,213187,37244,-0
8,253031,44149,-0
9,299957,51275,-0
10,359404,58914,-0
11,379758,60148,-0
12,390424,60730,-0
13,390432,60903,-0
14,396813,61555,-0
15,348327,56119,-0
16,379127,60599,-0
17,429852,68355,-0
18,493698,76683,-0
19,546691,83235,-0
20,619521,95122,-0
21,676067,103160,-0
22,742635,111908,-0
23,825772,124342,-0
24,877657,131874,-0
