Complexity,Loss,Equation
1,0.015946576,"0.086991206"
2,0.0075536193,"cube(x1)"
3,0.004418001,"x2 ^ 3.7956135"
4,0.0023755431,"square(x0) * 0.029662237"
5,0.0017327216,"(x1 - -0.35897028) ^ 11.076691"
7,0.0012429217,"(x1 - -0.38953546) ^ (x2 / 0.041242152)"
9,0.0010588525,"(x1 - -0.35768777) ^ (6.322617 ^ (x2 / x1))"
10,0.0009716725,"square((((x2 / x1) - x1) / x1) ^ -1.7899084)"
11,0.00095004035,"((x1 - -0.2781496) ^ (5.6165333 ^ (x2 / x1))) * 2.0382044"
12,0.00069538486,"(((x1 - -0.20860425) ^ 4.3186784) ^ cube(x2 / x1)) * 4.5925736"
14,0.00062358676,"((((x1 - -0.21547398) ^ 4.5175433) ^ cube(x2 / x1)) * 4.520453) - -0.010394852"
20,0.0006220267,"square(square(neg(square(((x1 ^ sqrt(cube(x2 + 1.0646))) / sqrt(x2)) * 3.0216324)))) + (0.0022406913 / x1)"
