Complexity,Loss,Equation
1,0.0011299002,"-0.0022352058"
3,0.0011169274,"x0 * -0.013182374"
5,0.0010595988,"(x1 * -0.027486704) * x0"
7,0.00092972064,"((x0 + x1) * -0.08001851) - -0.12527953"
9,0.00088409754,"(x1 * ((x0 * -0.081188574) + -0.04094384)) - -0.07346505"
13,0.00088409724,"((x1 * 0.95905507) - ((x1 * x0) * 0.081189275)) - (x1 + -0.07346678)"
15,0.0008833746,"(0.005993149 - (x1 * (x0 * 0.15769258))) + (x0 * ((x0 * -0.12708338) + 0.19513322))"
17,0.00088254537,"((0.005993149 - (x1 * (x0 * 0.15769258))) + (x0 * ((x0 * -0.12708338) + 0.19513322))) * 1.0285858"
