Complexity,Loss,Equation
1,0.009629252,"0.0040747216"
3,0.009202912,"x0 * 0.065511964"
5,0.009005253,"(x0 * 0.10630093) + -0.019218605"
9,0.008981372,"(x0 * ((x0 * -0.0982023) + 0.17971084)) + -0.02516581"
11,0.008980361,"(x0 * (0.1680313 - (x0 * 0.10674111))) - (x1 * 0.015717406)"
17,0.008980162,"(x0 * (((((x0 * (x0 * -0.1333797)) - 0.11300108) + x0) * -0.11830897) + 0.17304608)) + -0.025547542"
19,0.00897065,"-0.046120834 - (x0 * (-0.34321102 - (((((x1 * x0) - x1) + -0.2834928) * x0) - (x1 * -0.18772864))))"
