Complexity,Loss,Equation
1,0.46786952,"x0"
3,0.052572068,"x2 * x0"
5,0.040135693,"(x1 * 1.2750585) * x0"
7,0.030091343,"((x1 * 2.5745735) - x2) * x0"
9,0.025594037,"(((x1 + -0.5183948) * x0) + 0.61145854) * x0"
11,0.024593772,"(((x1 * (x0 + 16.439663)) - 11.043162) * x2) - -2.6359086"
13,0.022181628,"x0 * ((x2 * (x1 - ((x1 - x2) * -2.0056503))) * 4.6349196)"
15,0.0051678866,"x0 * (x2 * ((x1 - (((x1 - x2) * -3.6048653) + -0.31107706)) * 3.6157095))"
17,0.00477907,"((x2 * (x0 * (x1 - (((x1 - x2) * -3.5908012) + -0.30132088)))) * 3.7164028) + 0.01831523"
