time,AO,LP,LB
2,0,0.614,0.624
2.25,0,0.614,0.626
2.5,0,0.614,0.628
2.75,0,0.615,0.629
3,0,0.614,0.629
3.25,0,0.614,0.629
3.5,0,0.614,0.631
3.75,0,0.615,0.633
4,0,0.616,0.634
4.25,0,0.616,0.634
4.5,0,0.617,0.636
4.75,0,0.619,0.637
5,0,0.619,0.641
5.25,0,0.619,0.644
5.5,0,0.622,0.645
5.75,0,0.622,0.648
6,0,0.624,0.65
6.25,0,0.625,0.654
6.5,0,0.628,0.654
6.75,0,0.63,0.659
7,0,0.633,0.662
7.25,0,0.636,0.668
7.5,0,0.639,0.672
7.75,0,0.644,0.676
8,0,0.648,0.683
8.25,0,0.653,0.688
8.5,0,0.658,0.696
8.75,0,0.662,0.702
9,0,0.669,0.708
9.25,0,0.676,0.716
9.5,0,0.681,0.727
9.75,0,0.688,0.738
10,0,0.698,0.75
10.25,0,0.705,0.761
10.5,0,0.713,0.772
10.75,0,0.722,0.786
11,0,0.731,0.799
11.25,0,0.743,0.812
11.5,0,0.753,0.825
11.75,0,0.762,0.842
12,0,0.772,0.854
12.25,0,0.782,0.865
12.5,0,0.793,0.88
12.75,0,0.8009999999999999,0.893
13,0,0.815,0.903
13.25,0,0.825,0.917
13.5,0,0.835,0.929
13.75,0,0.848,0.9440000000000001
14,0,0.859,0.955
14.25,0,0.871,0.968
14.5,0,0.882,0.977
14.75,0,0.894,0.99
15,0,0.905,1.001
15.25,0,0.915,1.009
15.5,0,0.9259999999999999,1.02
15.75,0,0.937,1.029
16,0,0.948,1.038
16.25,0,0.958,1.046
16.5,0,0.968,1.053
16.75,0,0.977,1.06
17,0,0.989,1.061
17.25,0,0.999,1.071
17.5,0,1.009,1.074
17.75,0,1.018,1.079
18,0,1.029,1.088
18.25,0,1.037,1.095
18.5,0,1.0470000000000002,1.105
18.75,0,1.056,1.108
19,0,1.0630000000000002,1.115
19.25,0,1.072,1.115
19.5,0,1.081,1.124
19.75,0,1.089,1.131
20,0,1.097,1.129
20.25,0,1.105,1.1320000000000001
20.5,0,1.1139999999999999,1.139
20.75,0,1.121,1.1440000000000001
21,0,1.1280000000000001,1.147
21.25,0,1.138,1.15
21.5,0,1.145,1.154
21.75,0,1.153,1.159
22,0,1.16,1.166
22.25,0,1.169,1.165
22.5,0,1.176,1.17
22.75,0,1.186,1.174
23,0,1.193,1.176
23.25,0,1.201,1.18
23.5,0,1.209,1.182
23.75,0,1.217,1.185
24,0,1.224,1.189
24.25,0,1.232,1.192
24.5,0,1.24,1.193
24.75,0,1.248,1.198
25,0,1.2570000000000001,1.201
25.25,0,1.264,1.204
25.5,0,1.272,1.206
25.75,0,1.279,1.21
26,0,1.2890000000000001,1.212
26.25,0,1.295,1.216
26.5,0,1.304,1.214
26.75,0,1.311,1.2189999999999999
27,0,1.319,1.221
27.25,0,1.325,1.2229999999999999
27.5,0,1.333,1.226
27.75,0,1.34,1.229
28,0,1.348,1.2309999999999999
28.25,0,1.356,1.2349999999999999
28.5,0,1.363,1.2349999999999999
28.75,0,1.371,1.237
29,0,1.379,1.24
29.25,0,1.384,1.242
29.5,0,1.391,1.246
29.75,0,1.398,1.249
30,0,1.405,1.25
30.25,0,1.41,1.2530000000000001
30.5,0,1.418,1.256
30.75,0,1.426,1.2570000000000001
31,0,1.433,1.259
31.25,0,1.44,1.2610000000000001
31.5,0,1.445,1.262
31.75,0,1.453,1.266
32,0,1.46,1.266
32.25,0,1.466,1.2690000000000001
32.5,0,1.472,1.272
32.75,0,1.479,1.272
33,0,1.487,1.275
33.25,0,1.491,1.276
33.5,0,1.498,1.277
33.75,0,1.505,1.279
34,0,1.5110000000000001,1.282
34.25,0,1.518,1.283
